name,perct_pop
Michael,0.0115773775805504
James,0.0102178024415186
John,0.00967462530473799
Robert,0.00949304122976442
David,0.00894278474230051
William,0.00748422327850325
Mary,0.00683869458180949
Christopher,0.00590061846849396
Joseph,0.00541044283120785
Richard,0.0053460679176983
Daniel,0.0051379341207295004
Thomas,0.00492197304759221
Matthew,0.0044967499170826
Jennifer,0.00433302393327508
Charles,0.00427966571001279
Anthony,0.00383954297483508
Patricia,0.00378419295926876
Linda,0.00375060743085161
Mark,0.00355900565048459
Elizabeth,0.00352961104023526
Joshua,0.00351005464566755
Steven,0.00345182669900938
Andrew,0.00338902708326421
Kevin,0.00329440412754328
Brian,0.00324377516031214
Barbara,0.00320695738808562
Jessica,0.00317829709487918
Jason,0.00296875243451558
Susan,0.00294133501651298
Timothy,0.00287960331510352
Paul,0.00287188201006964
Kenneth,0.00276586437269326
Lisa,0.00274882205611758
Ryan,0.00274362396673848
Sarah,0.00268558053089665
Karen,0.0026596911634413
Jeffrey,0.0026436179487909
Donald,0.00261718469005728
Ashley,0.00257242757742903
Eric,0.00253180343764571
Jacob,0.00250966123899548
Nicholas,0.00250432297653721
Jonathan,0.00249748023995063
Ronald,0.00244336406507053
Michelle,0.00241213392358528
Kimberly,0.00239217873325895
Nancy,0.00235078995833983
Justin,0.0022879719994175
Sandra,0.00227295944650309
Amanda,0.00225339636983944
Brandon,0.00224851192265404
Stephanie,0.00223003943491364
Emily,0.00222314279852191
Melissa,0.00221179136078475
Gary,0.00217779616011867
Edward,0.00217143513036603
Stephen,0.0021462504814853
Scott,0.00210167777332486
George,0.00209210859396943
Donna,0.00208915199153746
Jose,0.00208824446346396
Rebecca,0.00201615729452259
Deborah,0.00200813993902353
Laura,0.00196407369733276
Cynthia,0.00196240814164595
Carol,0.00196206289982648
Amy,0.00192889009015513
Margaret,0.00189310188288973
Gregory,0.00188093635594768
Sharon,0.00187997770472115
Larry,0.00186553916994002
Angela,0.00185451584464858
Maria,0.00182814476624513
Alexander,0.00180273260816028
Benjamin,0.00179811593417419
Nicole,0.00176869948745504
Kathleen,0.00175399500123773
Patrick,0.00173851641654763
Samantha,0.00172031356160513
Tyler,0.00171158929842416
Samuel,0.00168563753445259
Betty,0.00165513699329073
Brenda,0.00164171785221971
Pamela,0.00162113863972591
Aaron,0.00161485785752886
Kelly,0.00156824568080894
Heather,0.00153233915759598
Rachel,0.00153144188109579
Adam,0.0015216776825367
Christine,0.00151860557399155
Zachary,0.00151489239462466
Debra,0.00151004405532197
Katherine,0.00148115787704641
Dennis,0.00146470671920813
Nathan,0.00145560875125214
Christina,0.00143493760448082
Julie,0.00141815680487209
Jordan,0.00141596528095013
Kyle,0.00141346905565753
Anna,0.00140027051972801
